Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
1520,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.42527061,2.654970507,4.579709669,6.285906447,3.238396403,0.228063744,0.205297733,0.885689729,0,0
1525,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,74.3902439,48.19478236,2.403468359,4.039420614,6.172323414,3.401211701,0.206364481,0.207866803,0.885689729,0,0
1530,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,47.95572449,2.901581571,4.810802406,6.147053085,3.122858066,0.222360965,0.626903396,0.886549205,0,1.162790698
1535,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,48.47992536,3.145971492,6.305407532,4.829456185,1.775917771,0.256255649,0.727459412,0.886549205,0,13.95348837
1540,89.13043478,84.31372549,89.18918919,87.5,95.69892473,97.84946237,74.3902439,72.56097561,47.65108091,2.827085031,5.029320217,5.513623292,2.212318011,0.226440139,0.320600383,0.886978943,0,0
1545,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.50305394,2.591458371,4.338876192,6.124704506,3.582929154,0.216211664,0.190103991,0.886978943,0,0
1550,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,34.64512566,1.647222363,2.927400236,3.932141793,1.982881251,0.132799395,0.153332649,0.887408681,0,0
1555,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,20.6574021,1.391875033,2.284342011,3.370070126,1.760586744,0.087341417,0.139917992,0.888268156,0,0
1560,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,48.25209557,2.843140618,5.086550368,4.989745079,1.392361566,0.255516784,0.754372109,0.888697894,0,1.453488372
1565,89.13043478,84.31372549,89.18918919,87.5,95.69892473,97.84946237,74.3902439,74.3902439,48.02737773,3.26914818,6.513141894,4.953841266,1.949079626,0.253448437,0.707307236,0.885689729,0,17.15116279
1570,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,47.90881053,2.634794909,4.531100338,6.140844366,3.128759595,0.223368454,0.214341952,0.886119467,0,0
1575,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,48.05402486,2.594627953,4.773446138,5.11106794,1.807982384,0.261551638,0.298901302,0.886549205,0,0
