pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
665.002   0  tick 4986671585         0 4986671582 
670.002   0  tick 4986627183         0 4986627183 
670.002   2  tick         0 4986635240         0 
670.002   3  tick         0 4986638098         0 
670.002   1  tick 4986655091         0 4986655091 
675.002   3  tick         0 4986672515         0 
675.002   1  tick 4986669570         0 4986669562 
675.002   0  tick 4986677953         0 4986677955 
675.002   2  tick         0 4986700936         0 
680.002   2  tick         0 4986640383         0 
680.002   1  tick 4986674786         0 4986674793 
680.002   3  tick         0 4986698583         0 
680.002   0  tick 4986833885         0 4986833883 
685.002   1  tick 4986671913         0 4986671914 
685.002   2  tick         0 4986701021         0 
685.002   3  tick         0 4986670799         0 
685.002   0  tick 4986539605         0 4986539609 
690.002   0  tick 4986630975         0 4986630969 
690.002   3  tick         0 4986640239         0 
690.002   2  tick         0 4986647813         0 
690.002   1  tick 4986669591         0 4986669596 
695.002   0  tick 4986666086         0 4986666083 
695.002   3  tick         0 4986674929         0 
695.002   1  tick 4986674289         0 4986674283 
695.002   2  tick         0 4986689376         0 
700.002   0  tick 4986676385         0 4986676387 
700.002   3  tick         0 4986668566         0 
700.002   1  tick 4986667741         0 4986667742 
700.002   2  tick         0 4986674815         0 
705.002   1  tick 4986643497         0 4986643495 
705.002   0  tick 4986663760         0 4986663762 
705.002   2  tick         0 4986640619         0 
705.002   3  tick         0 4986693321         0 
710.002   1  tick 4986680344         0 4986680340 
710.002   3  tick         0 4986655690         0 
710.002   2  tick         0 4986697771         0 
710.002   0  tick 4986704058         0 4986704061 
715.002   1  tick 4986659611         0 4986659615 
715.002   0  tick 4986635965         0 4986635963 
715.002   2  tick         0 4986643657         0 
715.002   3  tick         0 4986688107         0 
720.002   1  tick 4986671519         0 4986671513 
720.002   0  tick 4986671466         0 4986671467 
720.002   2  tick         0 4986668163         0 
720.002   3  tick         0 4986668620         0 
725.002   3  tick         0 4986642855         0 
725.002   1  tick 4986700507         0 4986700513 
725.002   2  tick         0 4986694403         0 
725.007   0  tick 4992084214         0 4992084215 
730.002   1  tick 4986639062         0 4986639061 
730.002   0  tick 4981255636         0 4981255630 
730.002   2  tick         0 4986649164         0 
730.002   3  tick         0 4986699487         0 
735.002   1  tick 4986670193         0 4986670194 
735.002   0  tick 4986670339         0 4986670347 
735.002   3  tick         0 4986646165         0 
735.002   2  tick         0 4986693987         0 
740.002   1  tick 4986709522         0 4986709516 
740.002   3  tick         0 4986697440         0 
740.002   2  tick         0 4986680347         0 
740.002   0  tick 4986720296         0 4986720294 
745.002   1  tick 4986632857         0 4986632862 
745.002   0  tick 4986620927         0 4986620927 
745.002   3  tick         0 4986638067         0 
745.002   2  tick         0 4986659575         0 
750.002   1  tick 4986671398         0 4986671394 
750.002   0  tick 4986672565         0 4986672559 
750.002   2  tick         0 4986644056         0 
750.002   3  tick         0 4986699423         0 
755.002   0  tick 4986674384         0 4986674388 
755.002   1  tick 4986684075         0 4986684082 
755.002   2  tick         0 4986677014         0 
755.002   3  tick         0 4986674640         0 
760.002   0  tick 4986668008         0 4986668004 
760.002   1  tick 4986663209         0 4986663207 
760.002   2  tick         0 4986669401         0 
760.002   3  tick         0 4986667348         0 
765.002   1  tick 4986696854         0 4986696855 
765.002   3  tick         0 4986674411         0 
765.002   2  tick         0 4986701863         0 
765.002   0  tick 4986716970         0 4986716977 
770.002   2  tick         0 4986664706         0 
770.002   1  tick 4986676697         0 4986676690 
770.002   3  tick         0 4986676924         0 
770.002   0  tick 4986671381         0 4986671378 
775.002   2  tick         0 4986644821         0 
775.002   1  tick 4986638953         0 4986638963 
775.002   3  tick         0 4986662184         0 
775.002   0  tick 4986811672         0 4986811672 
780.002   1  tick 4986662866         0 4986662859 
780.002   0  tick 4986477656         0 4986477653 
780.002   3  tick         0 4986640104         0 
780.002   2  tick         0 4986690027         0 
785.002   1  tick 4986688817         0 4986688822 
785.002   3  tick         0 4986677948         0 
785.002   0  tick 4986689376         0 4986689379 
785.002   2  tick         0 4986678086         0 
790.002   0  tick 4986654157         0 4986654151 
790.002   1  tick 4986652153         0 4986652148 
790.002   3  tick         0 4986662476         0 
790.002   2  tick         0 4986662886         0 
795.002   0  tick 4986673095         0 4986673105 
795.002   1  tick 4986678659         0 4986678662 
795.002   2  tick         0 4986651175         0 
795.002   3  tick         0 4986700466         0 
800.002   3  tick         0 4986645358         0 
800.002   1  tick 4986677467         0 4986677463 
